Time,Rotor Angle,Rotor Speed,EQ' Volts, ED' Volts,Term Volts,Elec Power Re,Elec Pwr Im,Fld Volts,Mech Power, Satn Factor, Air Gap Volts,Elec MW,Elec MVAr
0.0,4.250911,0.0,1.1478989,0.0,0.99955124,0.97421324,0.36811298,1.1478989,0.974553,1.0,0.9665803,194.84265,73.6226
0.02,4.2509475,1.20818E-6,1.1478989,0.0,0.99955046,0.9742099,0.3681156,1.1479551,0.974553,1.0,0.9665798,194.84198,73.62312
0.04,4.2510934,2.1747894E-6,1.147899,0.0,0.9995479,0.97419786,0.36812633,1.1481462,0.974553,1.0,0.9665779,194.83957,73.62527
0.06,4.2513347,3.1671964E-6,1.1478996,0.0,0.99954367,0.97417855,0.3681448,1.1484097,0.974553,1.0,0.96657497,194.83571,73.62896
0.08,4.2516694,4.204203E-6,1.1479008,0.0,0.9995381,0.97415423,0.36817077,1.1487136,0.974553,1.0,0.96657085,194.83084,73.634155
0.1,4.252089,5.299769E-6,1.1479026,0.0,0.7731075,0.63826215,0.8961794,1.1490337,0.974553,1.0,0.7548976,127.65243,179.23587
0.12,4.3031774,9.6263597E-4,1.147905,0.0,0.7730177,0.63987076,0.8959405,1.168221,0.974553,1.0,0.7547128,127.97415,179.1881
0.14,4.5546618,0.0018971238,1.1479664,0.0,0.77260256,0.647938,0.89481425,1.2099178,0.974553,1.0,0.753819,129.5876,178.96284
0.16,4.996422,0.002790893,1.1481111,0.0,0.7718606,0.6620951,0.8928861,1.2516747,0.974553,1.0,0.7522222,132.41902,178.57722
0.18,5.609086,0.0036276442,1.148339,0.0,0.7707833,0.68162024,0.8902298,1.2934916,0.974553,1.0,0.7499317,136.32405,178.04596
0.2,6.3649273,0.004393583,1.1486502,0.0,0.7693636,0.7054999,0.8869679,1.3353688,0.974553,1.0,0.746973,141.09998,177.39359
0.22,7.229169,0.005078176,1.1490444,0.0,0.7675999,0.73248845,0.88327974,1.3773062,0.974553,1.0,0.74339473,146.4977,176.65594
0.24,8.161653,0.0056747072,1.1495217,0.0,0.76550156,0.76119024,0.8794044,1.419304,0.974553,1.0,0.7392761,152.23805,175.88089
0.26,9.118776,0.006180593,1.150082,0.0,0.76309115,0.7901447,0.8756352,1.4613624,0.974553,1.0,0.73472893,158.02893,175.12704
0.28,10.055526,0.006597442,1.1507252,0.0,0.7604065,0.817916,0.8723076,1.5034813,0.974553,1.0,0.72989655,163.58319,174.46152
0.3,10.927549,0.006930865,1.1514515,0.0,0.757501,0.84317607,0.8697773,1.5456607,0.974553,1.0,0.7249467,168.63521,173.95546
0.32,11.69314,0.007190056,1.1522607,0.0,0.7544404,0.8647735,0.8683913,1.587901,0.974553,1.0,0.7200608,172.9547,173.67825
