Time,Rotor Angle,Rotor Speed,EQ' Volts, ED' Volts,Term Volts,Elec Power Re,Elec Pwr Im,Fld Volts,Mech Power, Satn Factor, Air Gap Volts,Elec MW,Elec MVAr
0.0,-9.253608,0.0,0.918908,-0.0,0.99119407,-1.0308784E-4,-0.23883153,0.918908,0.0,1.0,0.991194,-0.0075254124,-17.434702
0.02,-9.25368,3.6659299E-7,0.918908,0.0,0.9911931,-1.115616E-4,-0.23882832,0.918908,0.0,1.0,0.9911931,-0.008143997,-17.434467
0.04,-9.253968,6.987793E-7,0.918908,0.0,0.9911896,-1.4495142E-4,-0.23881601,0.918908,0.0,1.0,0.9911896,-0.010581454,-17.433569
0.06,-9.254427,1.1365925E-6,0.918908,0.0,0.99118376,-1.9874616E-4,-0.2387954,0.918908,0.0,1.0,0.9911838,-0.01450847,-17.432064
0.08,-9.255021,1.7343914E-6,0.918908,0.0,0.9911759,-2.7042927E-4,-0.23876749,0.918908,0.0,1.0,0.99117595,-0.019741336,-17.430027
0.1,-9.255704,2.538196E-6,0.918908,0.0,0.81141305,-0.077176854,0.28954405,0.918908,0.0,1.0,0.8110218,-5.63391,21.136715
0.12,-9.285762,2.2227103E-4,0.918908,0.0,0.811299,-0.07889553,0.28975755,0.918908,0.0,1.0,0.81089,-5.7593737,21.152302
0.14,-9.4319105,4.4845737E-4,0.918908,0.0,0.8107696,-0.08712982,0.29072225,0.918908,0.0,1.0,0.8102704,-6.3604765,21.222725
0.16,-9.6876545,6.99351E-4,0.918908,0.0,0.8098205,-0.10150411,0.29239327,0.918908,0.0,1.0,0.8091422,-7.4098,21.34471
0.18,-10.040425,9.91625E-4,0.918908,0.0,0.8084426,-0.12129797,0.29471055,0.918908,0.0,1.0,0.8074721,-8.854752,21.51387
0.2,-10.472268,0.001339435,0.918908,0.0,0.8066279,-0.14548363,0.29760712,0.918908,0.0,1.0,0.80522835,-10.620305,21.72532
0.22,-10.960868,0.0017536212,0.918908,0.0,0.8043739,-0.17278539,0.30102804,0.918908,0.0,1.0,0.8023935,-12.613333,21.975048
0.24,-11.480872,0.0022410979,0.918908,0.0,0.80168873,-0.20175368,0.30494246,0.918908,0.0,1.0,0.79897827,-14.728019,22.2608
0.26,-12.005388,0.0028044777,0.918908,0.0,0.7985944,-0.230855,0.30935454,0.918908,0.0,1.0,0.79503,-16.852415,22.582882
0.28,-12.507613,0.0034419599,0.918908,0.0,0.7951297,-0.2585633,0.31430197,0.918908,0.0,1.0,0.7906362,-18.875122,22.944044
0.3,-12.96247,0.0041474774,0.918908,0.0,0.79134995,-0.28344926,0.31984684,0.918908,0.0,1.0,0.7859206,-20.691795,23.34882
0.32,-13.34811,0.004911094,0.918908,0.0,0.78732485,-0.30426043,0.3260584,0.918908,0.0,1.0,0.78103346,-22.211012,23.802261
0.34,-13.647265,0.005719611,0.918908,0.0,0.7831356,-0.3199824,0.3329896,0.918908,0.0,1.0,0.7761367,-23.358715,24.30824
0.36,-13.848305,0.006557324,0.918908,0.0,0.7788696,-0.32988262,0.34065482,0.918908,0.0,1.0,0.7713877,-24.081432,24.867802
0.38,-13.946022,0.007406882,0.918908,0.0,0.7746154,-0.33353323,0.34901106,0.918908,0.0,1.0,0.76692367,-24.347925,25.477808
0.4,-13.942034,0.008250187,0.918908,0.0,0.93602955,-0.45020157,-0.08898775,0.918908,0.0,1.0,0.92441785,-32.864716,-6.496106
0.42,-13.784227,0.00941919,0.918908,0.0,0.92895824,-0.45117474,-0.06711813,0.918908,0.0,1.0,0.9172061,-32.935757,-4.8996234
0.44,-13.305529,0.010558383,0.918908,0.0,0.9242257,-0.43024543,-0.049267944,0.918908,0.0,1.0,0.91348946,-31.407917,-3.59656
0.46,-12.535332,0.011607136,0.918908,0.0,0.922171,-0.38938665,-0.03699797,0.918908,0.0,1.0,0.9133666,-28.425226,-2.700852
0.48,-11.520996,0.012511699,0.918908,0.0,0.9229059,-0.33109245,-0.031755395,0.918908,0.0,1.0,0.91655403,-24.169748,-2.3181438
0.5,-10.325142,0.0132265035,0.918908,0.0,0.92633003,-0.25829282,-0.034698386,0.918908,0.0,1.0,0.9224838,-18.855375,-2.532982
0.52,-9.022259,0.013715285,0.918908,0.0,0.93214977,-0.17437379,-0.046474013,0.918908,0.0,1.0,0.9304097,-12.729287,-3.392603
0.54,-7.694912,0.013952301,0.918908,0.0,0.9398973,-0.08325309,-0.06696333,0.918908,0.0,1.0,0.9395042,-6.077476,-4.8883233
0.56,-6.4293785,0.013923745,0.918908,0.0,0.9489502,0.01056253,-0.095047586,0.918908,0.0,1.0,0.9489439,0.7710647,-6.9384737
0.58,-5.3108444,0.01362926,0.918908,0.0,0.9585662,0.10199212,-0.12848856,0.918908,0.0,1.0,0.95798767,7.445425,-9.379664
0.6,-4.4182816,0.013083304,0.918908,0.0,0.96794605,0.18552613,-0.16403092,0.918908,0.0,1.0,0.9660491,13.543407,-11.974257
0.62,-3.8191986,0.012315963,0.918908,0.0,0.9763267,0.2555625,-0.1978048,0.918908,0.0,1.0,0.97275513,18.656063,-14.43975
0.64,-3.5648346,0.011372644,0.918908,0.0,0.98309493,0.30692005,-0.22602168,0.918908,0.0,1.0,0.9779751,22.405163,-16.499582
0.66,-3.6859818,0.010312224,0.918908,0.0,0.9878911,0.33547455,-0.24581313,0.918908,0.0,1.0,0.98180103,24.489643,-17.944359
0.68,-4.189888,0.009203386,0.918908,0.0,0.9906658,0.33876935,-0.25592947,0.918908,0.0,1.0,0.98447263,24.730162,-18.682852
0.7,-5.058708,0.008119393,0.918908,0.0,0.9916624,0.31642666,-0.25701958,0.918908,0.0,1.0,0.9862669,23.099146,-18.76243
0.72,-6.2495804,0.0071319714,0.918908,0.0,0.99133426,0.27025452,-0.25137928,0.918908,0.0,1.0,0.98740005,19.72858,-18.350687
0.74,-7.6963654,0.006305205,0.918908,0.0,0.9902233,0.20403048,-0.24226356,0.918908,0.0,1.0,0.9879803,14.894225,-17.68524
0.76,-9.313293,0.0056903367,0.918908,0.0,0.98885125,0.123042904,-0.2330453,0.918908,0.0,1.0,0.988035,8.982132,-17.012306
0.78,-10.9999695,0.00532205,0.918908,0.0,0.98764443,0.033511713,-0.22647639,0.918908,0.0,1.0,0.9875839,2.446355,-16.532776
0.8,-12.647774,0.0052164877,0.918908,0.0,0.98689866,-0.058016293,-0.22422309,0.918908,0.0,1.0,0.98671687,-4.2351894,-16.368286
0.82,-14.1469345,0.0053709913,0.918908,0.0,0.9867674,-0.14520791,-0.22669476,0.918908,0.0,1.0,0.98562795,-10.600178,-16.548717
0.84,-15.393829,0.0057653,0.918908,0.0,0.98725986,-0.22236301,-0.2331234,0.918908,0.0,1.0,0.9845872,-16.2325,-17.01801
0.86,-16.298042,0.00636382,0.918908,0.0,0.98824453,-0.28467697,-0.24182095,0.918908,0.0,1.0,0.9838646,-20.781418,-17.65293
