Time,Rotor Angle,Rotor Speed,EQ' Volts, ED' Volts,Term Volts,Elec Power Re,Elec Pwr Im,Fld Volts,Mech Power, Satn Factor, Air Gap Volts,Elec MW,Elec MVAr
0.0,14.184481,0.0,1.0626888,0.0,0.9995074,0.9315641,0.08574969,1.0626888,0.9325182,1.0,0.96428996,372.62564,34.299877
0.02,14.184803,3.3928663E-6,1.0626888,0.0,0.99950653,0.93157077,0.08575073,1.0626888,0.9325182,1.0,0.9642885,372.6283,34.300293
0.04,14.186073,6.026222E-6,1.0626888,0.0,0.999503,0.93159705,0.08575408,1.0626888,0.9325182,1.0,0.96428275,372.63882,34.301632
0.06,14.188147,8.534913E-6,1.0626888,0.0,0.9994973,0.93164027,0.08575947,1.0626888,0.9325182,1.0,0.9642735,372.6561,34.303787
0.08,14.1909485,1.0873968E-5,1.0626888,0.0,0.9994895,0.9316979,0.08576713,1.0626888,0.9325182,1.0,0.96426094,372.67917,34.30685
0.1,14.19437,1.3005929E-5,1.0626888,0.0,0.8607308,0.65467244,0.5083233,1.0626888,0.9325182,1.0,0.8406549,261.869,203.32933
0.12,14.23074,8.03787E-4,1.0626888,0.0,0.86064494,0.65522134,0.5083839,1.0626888,0.9325182,1.0,0.8405329,262.08853,203.35358
0.14,14.396137,0.0015803612,1.0626888,0.0,0.8602532,0.6576975,0.50866365,1.0626888,0.9325182,1.0,0.8399776,263.079,203.46545
0.16,14.685557,0.0023375037,1.0626888,0.0,0.85955447,0.6619974,0.50917995,1.0626888,0.9325182,1.0,0.83899254,264.79895,203.67198
0.18,15.090116,0.0030704136,1.0626888,0.0,0.8585453,0.6679428,0.5099649,1.0626888,0.9325182,1.0,0.83758247,267.17712,203.98595
0.2,15.597334,0.0037749135,1.0626888,0.0,0.8572235,0.67529184,0.5110583,1.0626888,0.9325182,1.0,0.835757,270.11673,204.42331
0.22,16.191608,0.0044476134,1.0626888,0.0,0.85559034,0.6837523,0.5125021,1.0626888,0.9325182,1.0,0.83353233,273.50092,205.00082
0.24,16.854725,0.0050860294,1.0626888,0.0,0.8536541,0.6929992,0.5143316,1.0626888,0.9325182,1.0,0.83093435,277.19968,205.73264
0.26,17.566513,0.0056886533,1.0626888,0.0,0.85143054,0.7026917,0.51657164,1.0626888,0.9325182,1.0,0.8279991,281.07666,206.62866
0.28,18.305515,0.0062549682,1.0626888,0.0,0.84894615,0.7124926,0.51922995,1.0626888,0.9325182,1.0,0.8247744,284.99704,207.69199
0.3,19.049671,0.006785415,1.0626888,0.0,0.84623647,0.72208345,0.5222969,1.0626888,0.9325182,1.0,0.8213178,288.83337,208.91876
0.32,19.777044,0.0072813127,1.0626888,0.0,0.84334564,0.7311797,0.5257448,1.0626888,0.9325182,1.0,0.817695,292.4719,210.29791
0.34,20.466434,0.0077447426,1.0626888,0.0,0.8403249,0.7395387,0.5295297,1.0626888,0.9325182,1.0,0.8139775,295.8155,211.81187
0.36,21.09796,0.008178413,1.0626888,0.0,0.8372287,0.74696654,0.53359616,1.0626888,0.9325182,1.0,0.8102379,298.78662,213.43846
0.38,21.653526,0.008585511,1.0626888,0.0,0.8341126,0.7533187,0.53788185,1.0626888,0.9325182,1.0,0.8065468,301.32748,215.15274
0.4,22.117249,0.008969554,1.0626888,0.0,0.96341586,0.9469248,0.18480098,1.0626888,0.9325182,1.0,0.9255866,378.76993,73.920395
0.42,22.441353,0.008808852,1.0626888,0.0,0.95876276,0.9358219,0.20065784,1.0626888,0.9325182,1.0,0.92164654,374.32877,80.26314
0.44,22.517075,0.008681687,1.0626888,0.0,0.9555992,0.9253676,0.21217519,1.0626888,0.9325182,1.0,0.919199,370.14703,84.87008
0.46,22.348862,0.008585378,1.0626888,0.0,0.9541886,0.91598517,0.21861644,1.0626888,0.9325182,1.0,0.9184822,366.39407,87.44658
