Time,Rotor Angle,Rotor Speed,EQ' Volts, ED' Volts,Term Volts,Elec Power Re,Elec Pwr Im,Fld Volts,Mech Power, Satn Factor, Air Gap Volts,Elec MW,Elec MVAr
0.0,28.30183,0.0,1.045981,0.0,0.99964833,0.67577773,0.08824742,1.045981,0.67674875,1.0,0.9806784,405.46664,52.948452
0.02,28.30216,3.4529926E-6,1.045981,0.0,0.99964774,0.67577934,0.08824887,1.045981,0.67674875,1.0,0.9806777,405.4676,52.94932
0.04,28.303461,6.1597175E-6,1.045981,0.0,0.9996454,0.6757858,0.08825479,1.045981,0.67674875,1.0,0.980675,405.47147,52.952873
0.06,28.305609,8.8066345E-6,1.045981,0.0,0.9996416,0.6757967,0.088264585,1.045981,0.67674875,1.0,0.98067045,405.47803,52.95875
0.08,28.30855,1.1381698E-5,1.045981,0.0,0.99963635,0.6758119,0.08827792,1.045981,0.67674875,1.0,0.98066425,405.48712,52.96675
0.1,28.312222,1.3874053E-5,1.045981,0.0,0.9441623,0.48523065,0.28448656,1.045981,0.67674875,1.0,0.93384916,291.1384,170.69194
0.12,28.322327,5.5890507E-4,1.045981,0.0,0.9441621,0.48500594,0.28452078,1.045981,0.67674875,1.0,0.93385845,291.00357,170.71246
0.14,28.355915,0.0010975036,1.045981,0.0,0.944181,0.48382482,0.28464407,1.045981,0.67674875,1.0,0.933928,290.2949,170.78644
0.16,28.412205,0.0016324698,1.045981,0.0,0.9442136,0.48171118,0.2848671,1.045981,0.67674875,1.0,0.93405086,289.0267,170.92026
0.18,28.489975,0.0021664833,1.045981,0.0,0.9442498,0.47870818,0.2852096,1.045981,0.67674875,1.0,0.9342144,287.2249,171.12576
0.2,28.58755,0.002702048,1.045981,0.0,0.9442761,0.47487885,0.28569734,1.045981,0.67674875,1.0,0.9344017,284.9273,171.41841
0.22,28.702911,0.003241438,1.045981,0.0,0.9442766,0.47030705,0.2863592,1.045981,0.67674875,1.0,0.93459237,282.18423,171.81552
0.24,28.833744,0.0037866419,1.045981,0.0,0.9442349,0.46509698,0.28722247,1.045981,0.67674875,1.0,0.93476474,279.0582,172.33348
0.26,28.977592,0.004339309,1.045981,0.0,0.94413495,0.45937225,0.2883114,1.045981,0.67674875,1.0,0.93489665,275.62335,172.98683
0.28,29.131905,0.004900701,1.045981,0.0,0.9439627,0.45327398,0.28964287,1.045981,0.67674875,1.0,0.9349675,271.9644,173.78572
0.3,29.294159,0.0054716473,1.045981,0.0,0.9437063,0.4469578,0.29122585,1.045981,0.67674875,1.0,0.9349589,268.17468,174.7355
0.32,29.461973,0.0060525155,1.045981,0.0,0.94335717,0.4405895,0.29306018,1.045981,0.67674875,1.0,0.9348552,264.3537,175.8361
0.34,29.633144,0.0066431914,1.045981,0.0,0.94291013,0.43434,0.29513752,1.045981,0.67674875,1.0,0.9346447,260.604,177.08252
0.36,29.805742,0.0072430745,1.045981,0.0,0.9423625,0.42838013,0.29744175,1.045981,0.67674875,1.0,0.93431866,257.02808,178.46506
0.38,29.978065,0.007851089,1.045981,0.0,0.94171476,0.42287436,0.29995167,1.045981,0.67674875,1.0,0.9338718,253.72461,179.97101
0.4,30.148685,0.008465718,1.045981,0.0,0.9999402,0.5477262,0.11016648,1.045981,0.67674875,1.0,0.987523,328.63574,66.09989
0.42,30.30016,0.008721594,1.045981,0.0,0.99889034,0.5360123,0.115300104,1.045981,0.67674875,1.0,0.9869891,321.60736,69.18006
0.44,30.382774,0.009004322,1.045981,0.0,0.99802005,0.5283725,0.11920445,1.045981,0.67674875,1.0,0.9864474,317.02353,71.52267
0.46,30.397018,0.009301737,1.045981,0.0,0.9974605,0.5250133,0.121467374,1.045981,0.67674875,1.0,0.98602885,315.008,72.880424
0.48,30.345623,0.009601398,1.045981,0.0,0.9972824,0.52595836,0.12187866,1.045981,0.67674875,1.0,0.9858073,315.575,73.1272
0.5,30.233051,0.0098910825,1.045981,0.0,0.99749315,0.5310862,0.12043224,1.045981,0.67674875,1.0,0.98579437,318.65173,72.259346
0.52,30.065388,0.010159179,1.045981,0.0,0.99803734,0.5401476,0.11732062,1.045981,0.67674875,1.0,0.9859402,324.08856,70.39237
0.54,29.850288,0.0103950435,1.045981,0.0,0.99880165,0.5527603,0.112926684,1.045981,0.67674875,1.0,0.9861392,331.6562,67.75601
0.56,29.597107,0.010589379,1.045981,0.0,0.9996244,0.56838804,0.1078051,1.045981,0.67674875,1.0,0.98624194,341.03284,64.68306
0.58,29.317001,0.010734667,1.045981,0.0,1.0003121,0.5863221,0.10264032,1.045981,0.67674875,1.0,0.9860756,351.79327,61.584194
0.6,29.022919,0.010825639,1.045981,0.0,1.0006676,0.60568726,0.09816925,1.045981,0.67674875,1.0,0.9854732,363.41235,58.90155
0.62,28.729324,0.010859686,1.045981,0.0,1.0005249,0.62549496,0.0950645,1.045981,0.67674875,1.0,0.98430985,375.29697,57.0387
0.64,28.451485,0.010837082,1.045981,0.0,0.99978614,0.6447522,0.093804024,1.045981,0.67674875,1.0,0.98253536,386.85132,56.282413
0.66,28.204376,0.010760846,1.045981,0.0,0.9984461,0.6626053,0.09456221,1.045981,0.67674875,1.0,0.9801929,397.56317,56.737328
0.68,28.001465,0.01063621,1.045981,0.0,0.99659634,0.6784799,0.097171485,1.045981,0.67674875,1.0,0.9774132,407.08795,58.30289
0.7,27.853424,0.010469718,1.045981,0.0,0.9944028,0.6921556,0.1011729,1.045981,0.67674875,1.0,0.9743857,415.29337,60.70374
0.72,27.767181,0.0102681955,1.045981,0.0,0.99206734,0.70374763,0.105938874,1.045981,0.67674875,1.0,0.9713171,422.24857,63.563324
0.74,27.745499,0.010037856,1.045981,0.0,0.9897876,0.71360046,0.110812925,1.045981,0.67674875,1.0,0.9683956,428.16028,66.487755
0.76,27.78695,0.009783757,1.045981,0.0,0.9877303,0.72214264,0.11522156,1.045981,0.67674875,1.0,0.9657706,433.28558,69.132935
0.78,27.886314,0.009509683,1.045981,0.0,0.9860212,0.7297427,0.11872948,1.045981,0.67674875,1.0,0.9635517,437.8456,71.237686
