Time,Rotor Angle,Rotor Speed,EQ' Volts, ED' Volts,Term Volts,Elec Power Re,Elec Pwr Im,Fld Volts,Mech Power, Satn Factor, Air Gap Volts,Elec MW,Elec MVAr
0.0,-22.04166,0.0,1.0720258,0.0,0.9996461,0.0064503513,0.24117404,1.0720258,0.005896572,1.0,0.9996446,1.2900703,48.23481
0.02,-22.042036,-1.969307E-6,1.0720258,0.0,0.9996453,0.0064367987,0.24117662,1.0720258,0.005896572,1.0,0.99964374,1.2873597,48.235325
0.04,-22.043531,-3.44625E-6,1.0720258,0.0,0.99964213,0.0063820034,0.2411868,1.0720258,0.005896572,1.0,0.9996405,1.2764007,48.23736
0.06,-22.045969,-4.7216477E-6,1.0720258,0.0,0.999637,0.006293077,0.24120295,1.0720258,0.005896572,1.0,0.9996354,1.2586154,48.24059
0.08,-22.049269,-5.70287E-6,1.0720258,0.0,0.9996299,0.006173119,0.24122486,1.0720258,0.005896572,1.0,0.9996284,1.2346238,48.244972
0.1,-22.053322,-6.3081175E-6,1.0720258,0.0,0.75722986,0.10411657,0.7925725,1.0720258,0.005896572,1.0,0.75666904,20.823313,158.5145
0.12,-22.14131,-2.8579117E-4,1.0720258,0.0,0.75713223,0.10239288,0.7927819,1.0720258,0.005896572,1.0,0.75658983,20.478577,158.55638
0.14,-22.560287,-5.5169617E-4,1.0720258,0.0,0.75666493,0.09413819,0.7937691,1.0720258,0.005896572,1.0,0.7562061,18.827639,158.75383
0.16,-23.300682,-7.8576506E-4,1.0720258,0.0,0.7558146,0.07959521,0.7954835,1.0720258,0.005896572,1.0,0.75548637,15.919042,159.09671
0.18,-24.34681,-9.7081496E-4,1.0720258,0.0,0.75456005,0.059179362,0.79784036,1.0720258,0.005896572,1.0,0.75437826,11.835873,159.56807
0.2,-25.677288,-0.0010912098,1.0720258,0.0,0.7528761,0.033469945,0.80072546,1.0720258,0.005896572,1.0,0.7528179,6.693989,160.1451
0.22,-27.265602,-0.0011332938,1.0720258,0.0,0.75074047,0.0031938553,0.8040043,1.0720258,0.005896572,1.0,0.75073993,0.63877106,160.80086
0.24,-29.080814,-0.0010857695,1.0720258,0.0,0.7481389,-0.030797303,0.80753046,1.0720258,0.005896572,1.0,0.74808925,-6.1594605,161.50609
0.26,-31.088371,-9.399966E-4,1.0720258,0.0,0.7450723,-0.0675596,0.81115586,1.0720258,0.005896572,1.0,0.74483246,-13.51192,162.23117
0.28,-33.25104,-6.9019216E-4,1.0720258,0.0,0.7415603,-0.10609372,0.81474227,1.0720258,0.005896572,1.0,0.74096566,-21.218744,162.94846
0.3,-35.529884,-3.335164E-4,1.0720258,0.0,0.7376442,-0.14538917,0.81816936,1.0720258,0.005896572,1.0,0.7365213,-29.077833,163.63387
0.32,-37.885223,1.2996735E-4,1.0720258,0.0,0.73338765,-0.1844664,0.82134306,1.0720258,0.005896572,1.0,0.73156863,-36.89328,164.26862
0.34,-40.277645,6.974542E-4,1.0720258,0.0,0.7288747,-0.22241849,0.8241995,1.0720258,0.005896572,1.0,0.72621226,-44.483696,164.8399
0.36,-42.668846,0.0013636656,1.0720258,0.0,0.7242065,-0.25844243,0.8267061,1.0720258,0.005896572,1.0,0.7205862,-51.688488,165.34122
0.38,-45.02249,0.0021211999,1.0720258,0.0,0.7194955,-0.29186165,0.8288604,1.0720258,0.005896572,1.0,0.7148446,-58.37233,165.77208
0.4,-47.304855,0.0029609317,1.0720258,0.0,0.8950311,-0.9200838,0.39285117,1.0720258,0.005896572,1.0,0.8571959,-184.01677,78.57024
0.42,-49.277084,0.005593665,1.0720258,0.0,0.8809742,-0.9662958,0.40906987,1.0720258,0.005896572,1.0,0.8384466,-193.25916,81.81397
0.44,-50.28437,0.008298684,1.0720258,0.0,0.872086,-0.9831106,0.4220813,1.0720258,0.005896572,1.0,0.82755315,-196.62212,84.41626
0.46,-50.31448,0.010994227,1.0720258,0.0,0.8689357,-0.9742657,0.43143594,1.0720258,0.005896572,1.0,0.8250547,-194.85313,86.287186
0.48,-49.381683,0.013609066,1.0720258,0.0,0.87160575,-0.9416077,0.43654773,1.0720258,0.005896572,1.0,0.83082044,-188.32155,87.30955
0.5,-47.523235,0.016076766,1.0720258,0.0,0.87975544,-0.88494337,0.43671256,1.0720258,0.005896572,1.0,0.84418076,-176.98868,87.342514
0.52,-44.798218,0.018329985,1.0720258,0.0,0.8926621,-0.8024176,0.43112922,1.0720258,0.005896572,1.0,0.8639573,-160.48352,86.225845
0.54,-41.288773,0.02029629,1.0720258,0.0,0.9092397,-0.69135857,0.41896468,1.0720258,0.005896572,1.0,0.88841724,-138.27171,83.79294
0.56,-37.10289,0.021896739,1.0720258,0.0,0.9280609,-0.549572,0.39950708,1.0720258,0.005896572,1.0,0.91522914,-109.9144,79.90141
0.58,-32.377583,0.023048477,1.0720258,0.0,0.9474259,-0.37699214,0.3724419,1.0720258,0.005896572,1.0,0.9415338,-75.39843,74.48838
0.6,-27.280727,0.023672083,1.0720258,0.0,0.9655188,-0.17734277,0.33822095,1.0720258,0.005896572,1.0,0.96424246,-35.468555,67.64419
0.62,-22.009727,0.023703223,1.0720258,0.0,0.98066163,0.040827934,0.29842007,1.0720258,0.005896572,1.0,0.980595,8.165586,59.684013
0.64,-16.785439,0.023106253,1.0720258,0.0,0.99162394,0.26444823,0.25587973,1.0720258,0.005896572,1.0,0.98885864,52.889645,51.175945
0.66,-11.840721,0.021885572,1.0720258,0.0,0.9978912,0.47786608,0.2144294,1.0720258,0.005896572,1.0,0.9888902,95.57322,42.88588
0.68,-7.4048004,0.020090327,1.0720258,0.0,0.99977803,0.6658799,0.17816952,1.0720258,0.005896572,1.0,0.9822588,133.17598,35.633904
0.7,-3.6862717,0.017810294,1.0720258,0.0,0.99832124,0.81661,0.15054777,1.0720258,0.005896572,1.0,0.9718139,163.32199,30.109554
0.72,-0.8580551,0.015164451,1.0720258,0.0,0.9949801,0.92300725,0.13363314,1.0720258,0.005896572,1.0,0.9608681,184.60146,26.726627
0.74,0.9532776,0.012286682,1.0720258,0.0,0.9912601,0.9826251,0.12784466,1.0720258,0.005896572,1.0,0.9523558,196.52502,25.568932
0.76,1.6727448,0.009313353,1.0720258,0.0,0.9883849,0.9962072,0.13215896,1.0720258,0.005896572,1.0,0.9482536,199.24144,26.431793
0.78,1.278038,0.0063753957,1.0720258,0.0,0.9871007,0.96605146,0.14456409,1.0720258,0.005896572,1.0,0.94935876,193.2103,28.912819
0.8,-0.20228577,0.003594902,1.0720258,0.0,0.98761684,0.89487123,0.16254056,1.0720258,0.005896572,1.0,0.9553401,178.97424,32.50811
0.82,-2.6917114,0.0010844726,1.0720258,0.0,0.98964536,0.7854262,0.18343464,1.0720258,0.005896572,1.0,0.9649287,157.08524,36.686928
0.84,-6.0691605,-0.0010529245,1.0720258,0.0,0.9924937,0.6408816,0.20473145,1.0720258,0.005896572,1.0,0.976155,128.17632,40.94629
0.86,-10.172951,-0.002725508,1.0720258,0.0,0.99518764,0.46564254,0.2242777,1.0720258,0.005896572,1.0,0.9866197,93.12851,44.85554
