Time,Rotor Angle,Rotor Speed,EQ' Volts, ED' Volts,Term Volts,Elec Power Re,Elec Pwr Im,Fld Volts,Mech Power, Satn Factor, Air Gap Volts,Elec MW,Elec MVAr
0.0,-2.0880428E-4,0.0,1.1170048,-0.0,1.1169858,0.05416636,0.21132529,1.1170048,-0.04547,1.0,1.1169858,541.66364,2113.253
0.025,-5.4454687E-4,-1.2703636E-6,1.1170048,0.0,1.1169858,0.05416636,0.21132529,1.1170048,-0.04547,1.0,1.1169858,541.66364,2113.253
0.05,-0.0015533888,-2.5158186E-6,1.1170048,0.0,1.1169858,0.05416637,0.21132529,1.1170048,-0.04547,1.0,1.1169858,541.6637,2113.253
0.075,-0.0031944222,-3.2928538E-6,1.1170048,0.0,1.1169987,-0.050686635,0.06741442,1.1170048,-0.04547,1.0,1.1169987,-506.86636,674.14417
0.1,-0.004952229,-3.2070495E-6,1.1170048,0.0,1.1169982,-0.05399306,0.073733166,1.1170048,-0.04547,1.0,1.1169982,-539.9306,737.33167
0.125,-0.00665372,-3.0843419E-6,1.1170048,0.0,1.1169976,-0.056559112,0.08008082,1.1170048,-0.04547,1.0,1.1169976,-565.5911,800.8082
0.15,-0.008281362,-2.9339483E-6,1.1170048,0.0,1.116997,-0.058401607,0.086246714,1.1170048,-0.04547,1.0,1.116997,-584.01605,862.46716
0.175,-0.009822494,-2.764543E-6,1.1170048,0.0,1.1169965,-0.05958971,0.09205171,1.1170048,-0.04547,1.0,1.1169965,-595.8971,920.5171
0.2,-0.011268871,-2.583712E-6,1.1170048,0.0,1.116996,-0.06022663,0.0973578,1.1170048,-0.04547,1.0,1.116996,-602.2663,973.578
0.225,-0.012615994,-2.3976381E-6,1.1170048,0.0,1.1169956,-0.06043166,0.102070294,1.1170048,-0.04547,1.0,1.1169956,-604.3166,1020.70294
0.25,-0.013862312,-2.210992E-6,1.1170048,0.0,1.1169952,-0.06032531,0.10613297,1.1170048,-0.04547,1.0,1.1169952,-603.2531,1061.3297
0.275,-0.015008409,-2.0269847E-6,1.1170048,0.0,1.116995,-0.060018867,0.10952068,1.1170048,-0.04547,1.0,1.116995,-600.18866,1095.2068
0.3,-0.016056262,-1.8475239E-6,1.1170048,0.0,1.1169946,-0.05960824,0.11223084,1.1170048,-0.04547,1.0,1.1169947,-596.0824,1122.3083
0.325,-0.017008578,-1.673425E-6,1.1170048,0.0,1.1169945,-0.059171095,0.11427477,1.1170048,-0.04547,1.0,1.1169945,-591.71094,1142.7477
0.35,-0.017868271,-1.5046472E-6,1.1170048,0.0,1.1169943,-0.058766473,0.115671046,1.1170048,-0.04547,1.0,1.1169944,-587.66473,1156.7104
0.375,-0.018638073,-1.3405194E-6,1.1170048,0.0,1.1169943,-0.05843557,0.11643988,1.1170048,-0.04547,1.0,1.1169944,-584.3557,1164.3988
0.4,-0.019320218,-1.1799546E-6,1.1170048,0.0,1.1169941,-0.05820307,0.11659958,1.1170048,-0.04547,1.0,1.1169943,-582.0307,1165.9958
0.425,-0.019916303,-1.0216503E-6,1.1170048,0.0,1.1169943,-0.058078595,0.1161646,1.1170048,-0.04547,1.0,1.1169944,-580.78595,1161.646
0.45,-0.020427201,-8.642702E-7,1.1170048,0.0,1.1169945,-0.058057513,0.11514433,1.1170048,-0.04547,1.0,1.1169945,-580.57513,1151.4432
0.475,-0.020853087,-7.066158E-7,1.1170048,0.0,1.1169946,-0.0581217,0.113543555,1.1170048,-0.04547,1.0,1.1169946,-581.217,1135.4355
0.5,-0.021193564,-5.4779713E-7,1.1170048,0.0,1.1169946,-0.058239654,0.11136394,1.1170048,-0.04547,1.0,1.1169947,-582.39655,1113.6394
0.525,-0.021447875,-3.8739702E-7,1.1170048,0.0,1.116995,-0.058366496,0.10860642,1.1170048,-0.04547,1.0,1.116995,-583.665,1086.0642
0.55,-0.021615192,-2.2563891E-7,1.1170048,0.0,1.1169952,-0.058444243,0.10527479,1.1170048,-0.04547,1.0,1.1169953,-584.44244,1052.7479
0.575,-0.021695005,-6.354625E-8,1.1170048,0.0,1.1169956,-0.058402613,0.10138005,1.1170048,-0.04547,1.0,1.1169957,-584.0261,1013.8005
0.6,-0.021687593,9.69149E-8,1.1170048,0.0,1.116996,-0.05816117,0.09694613,1.1170048,-0.04547,1.0,1.116996,-581.6117,969.4613
0.625,-0.021594578,2.5272595E-7,1.1170048,0.0,1.1169965,-0.057631597,0.09201382,1.1170048,-0.04547,1.0,1.1169965,-576.316,920.1382
