Time,Rotor Angle,Rotor Speed,EQ' Volts, ED' Volts,Term Volts,Elec Power Re,Elec Pwr Im,Fld Volts,Mech Power, Satn Factor, Air Gap Volts,Elec MW,Elec MVAr
0.0,13.847685,0.0,1.0611358,0.0,0.9995074,0.9126725,0.0854906,1.0611358,0.91361076,1.0,0.9656278,365.069,34.19624
0.02,13.847998,3.3364845E-6,1.0611358,0.0,0.9995065,0.9126785,0.08549172,1.0611358,0.91361076,1.0,0.96562636,365.07138,34.196686
0.04,13.849241,5.9279664E-6,1.0611358,0.0,0.9995031,0.9127036,0.085495606,1.0611358,0.91361076,1.0,0.9656209,365.08142,34.198242
0.06,13.851269,8.39988E-6,1.0611358,0.0,0.99949723,0.9127443,0.08550194,1.0611358,0.91361076,1.0,0.9656118,365.09772,34.200775
0.08,13.854008,1.0710236E-5,1.0611358,0.0,0.9994894,0.9127991,0.08551055,1.0611358,0.91361076,1.0,0.96559966,365.11966,34.20422
0.1,13.857357,1.2822477E-5,1.0611358,0.0,0.8607017,0.6387005,0.50729454,1.0611358,0.91361076,1.0,0.84154713,255.4802,202.91782
0.12,13.892742,7.95251E-4,1.0611358,0.0,0.8606164,0.6392064,0.5073669,1.0611358,0.91361076,1.0,0.8414291,255.68256,202.94676
0.14,14.053574,0.0015638281,1.0611358,0.0,0.860227,0.6414821,0.5077019,1.0611358,0.91361076,1.0,0.8408924,256.59283,203.08075
0.16,14.335046,0.0023137657,1.0611358,0.0,0.8595322,0.6454339,0.5083149,1.0611358,0.91361076,1.0,0.8399396,258.17355,203.32596
0.18,14.728662,0.0030406602,1.0611358,0.0,0.8585286,0.650903,0.5092344,1.0611358,0.91361076,1.0,0.8385749,260.3612,203.69377
0.2,15.222498,0.003740664,1.0611358,0.0,0.8572138,0.6576738,0.51049644,1.0611358,0.91361076,1.0,0.83680564,263.06952,204.19858
0.22,15.801631,0.004410633,1.0611358,0.0,0.85558903,0.6654881,0.5121348,1.0611358,0.91361076,1.0,0.8346462,266.19525,204.85391
0.24,16.448631,0.005048227,1.0611358,0.0,0.8536617,0.6740562,0.514178,1.0611358,0.91361076,1.0,0.8321194,269.62247,205.67119
0.26,17.14416,0.005651975,1.0611358,0.0,0.8514478,0.6830769,0.5166408,1.0611358,0.91361076,1.0,0.8292583,273.23077,206.65631
0.28,17.867592,0.0062212856,1.0611358,0.0,0.848973,0.6922501,0.51952165,1.0611358,0.91361076,1.0,0.8261069,276.90002,207.80865
0.3,18.59766,0.0067564216,1.0611358,0.0,0.84627235,0.7012923,0.5228004,1.0611358,0.91361076,1.0,0.82271945,280.5169,209.12015
