Time,Rotor Angle,Rotor Speed,EQ' Volts, ED' Volts,Term Volts,Elec Power Re,Elec Pwr Im,Fld Volts,Mech Power, Satn Factor, Air Gap Volts,Elec MW,Elec MVAr
0.0,-10.806238,0.0,1.037761,0.0,0.99956524,0.26259255,0.117278166,1.037761,0.26214132,1.0,0.99667853,131.29628,58.639084
0.02,-10.806566,-1.6046326E-6,1.037761,0.0,0.9995646,0.26258516,0.11728096,1.037761,0.26214132,1.0,0.996678,131.29259,58.64048
0.04,-10.807875,-2.8278016E-6,1.037761,0.0,0.99956167,0.26255572,0.117292315,1.037761,0.26214132,1.0,0.9966758,131.27786,58.646156
0.06,-10.810024,-3.935938E-6,1.037761,0.0,0.99955696,0.26250726,0.1173111,1.037761,0.26214132,1.0,0.99667215,131.25363,58.65555
0.08,-10.812976,-4.8770585E-6,1.037761,0.0,0.9995506,0.26244044,0.117336616,1.037761,0.26214132,1.0,0.9966672,131.22021,58.66831
0.1,-10.816681,-5.6022973E-6,1.037761,0.0,0.9174385,0.24803329,0.3582545,1.037761,0.26214132,1.0,0.91463214,124.01664,179.12724
0.12,-10.869704,3.469074E-5,1.037761,0.0,0.9173261,0.24727829,0.35861087,1.037761,0.26214132,1.0,0.91453654,123.639145,179.30544
0.14,-11.11636,7.85135E-5,1.037761,0.0,0.9167959,0.24380274,0.3602824,1.037761,0.26214132,1.0,0.9140828,121.90137,180.14119
0.16,-11.55258,1.3351273E-4,1.037761,0.0,0.915842,0.2376825,0.36326665,1.037761,0.26214132,1.0,0.9132608,118.841255,181.63332
0.18,-12.1727,2.0698628E-4,1.037761,0.0,0.91445327,0.22902752,0.36756182,1.037761,0.26214132,1.0,0.91205335,114.51376,183.78091
0.2,-12.969516,3.057901E-4,1.037761,0.0,0.9126172,0.2179829,0.37315992,1.037761,0.26214132,1.0,0.91043895,108.991455,186.57996
0.22,-13.934333,4.3624436E-4,1.037761,0.0,0.91032314,0.20472921,0.38003686,1.037761,0.26214132,1.0,0.9083971,102.36461,190.01843
0.24,-15.057027,6.040391E-4,1.037761,0.0,0.907566,0.18948284,0.38814527,1.037761,0.26214132,1.0,0.90591145,94.74142,194.07263
0.26,-16.326078,8.141431E-4,1.037761,0.0,0.90435004,0.17249386,0.39740807,1.037761,0.26214132,1.0,0.90297425,86.24693,198.70404
0.28,-17.728651,0.0010707194,1.037761,0.0,0.90069157,0.15404293,0.40771374,1.037761,0.26214132,1.0,0.8995901,77.02146,203.85687
0.3,-19.250679,0.0013770552,1.037761,0.0,0.8966203,0.13443433,0.41891727,1.037761,0.26214132,1.0,0.8957776,67.21716,209.45863
0.32,-20.876955,0.001735511,1.037761,0.0,0.8921804,0.11398834,0.43084133,1.037761,0.26214132,1.0,0.89157164,56.99417,215.42067
0.34,-22.591265,0.0021474964,1.037761,0.0,0.88742965,0.09303102,0.4432847,1.037761,0.26214132,1.0,0.88702214,46.51551,221.64235
0.36,-24.37654,0.0026134728,1.037761,0.0,0.8824377,0.07188514,0.45603046,1.037761,0.26214132,1.0,0.88219297,35.94257,228.01523
0.38,-26.215042,0.003132985,1.037761,0.0,0.8772831,0.05085889,0.46885562,1.037761,0.26214132,1.0,0.87715983,25.429445,234.42781
0.4,-28.08855,0.003704721,1.037761,0.0,0.93669945,-0.10419259,0.31387183,1.037761,0.26214132,1.0,0.9362151,-52.096294,156.93591
0.42,-29.913298,0.004718034,1.037761,0.0,0.9284753,-0.13534783,0.3353769,1.037761,0.26214132,1.0,0.9276506,-67.67391,167.68845
0.44,-31.474857,0.0058023473,1.037761,0.0,0.92237735,-0.16216879,0.35063395,1.037761,0.26214132,1.0,0.92118514,-81.0844,175.31697
0.46,-32.75381,0.0069449735,1.037761,0.0,0.91866916,-0.18550877,0.35926735,1.037761,0.26214132,1.0,0.9171026,-92.75439,179.63368
0.48,-33.728405,0.008135591,1.037761,0.0,0.9174646,-0.2058414,0.3612098,1.037761,0.26214132,1.0,0.9155329,-102.9207,180.6049
0.5,-34.374084,0.00936503,1.037761,0.0,0.918752,-0.22313333,0.35662317,1.037761,0.26214132,1.0,0.91648483,-111.566666,178.31158
0.52,-34.6634,0.010623752,1.037761,0.0,0.9224112,-0.23677601,0.3458692,1.037761,0.26214132,1.0,0.91986805,-118.38801,172.9346
0.54,-34.566708,0.011900201,1.037761,0.0,0.92821884,-0.24557571,0.3295255,1.037761,0.26214132,1.0,0.92550004,-122.78786,164.76276
0.56,-34.05356,0.013179193,1.037761,0.0,0.935845,-0.24781351,0.3084262,1.037761,0.26214132,1.0,0.933099,-123.90675,154.2131
0.58,-33.09491,0.014440562,1.037761,0.0,0.9448505,-0.2413971,0.283695,1.037761,0.26214132,1.0,0.94227,-120.69855,141.8475
0.6,-31.666252,0.015658338,1.037761,0.0,0.9546982,-0.22412261,0.2567191,1.037761,0.26214132,1.0,0.9524972,-112.06131,128.35956
0.62,-29.7514,0.01680075,1.037761,0.0,0.9647877,-0.19402577,0.22903429,1.037761,0.26214132,1.0,0.96315587,-97.012886,114.51714
0.64,-27.346867,0.017831258,1.037761,0.0,0.9745166,-0.14975357,0.20211461,1.037761,0.26214132,1.0,0.9735545,-74.876785,101.057304
0.66,-24.46598,0.018710602,1.037761,0.0,0.9833533,-0.09085744,0.17712606,1.037761,0.26214132,1.0,0.98300254,-45.42872,88.563034
0.68,-21.142212,0.019399524,1.037761,0.0,0.9908998,-0.01790621,0.15473568,1.037761,0.26214132,1.0,0.9908863,-8.953105,77.36784
0.7,-17.430977,0.019861646,1.037761,0.0,0.99691653,0.06759719,0.13506593,1.037761,0.26214132,1.0,0.99672496,33.798595,67.53297
0.72,-13.409508,0.02006594,1.037761,0.0,1.0013074,0.16342777,0.11781335,1.037761,0.26214132,1.0,1.0001922,81.71388,58.906673
0.74,-9.174797,0.019988552,1.037761,0.0,1.0040768,0.26685864,0.10247152,1.037761,0.26214132,1.0,1.0011089,133.42932,51.23576
0.76,-4.839981,0.019613998,1.037761,0.0,1.0052886,0.37481043,0.0885557,1.037761,0.26214132,1.0,0.99943244,187.40521,44.27785
0.78,-0.52976227,0.018935993,1.037761,0.0,1.0050439,0.48392317,0.07576292,1.037761,0.26214132,1.0,0.9952602,241.96158,37.88146
0.8,3.6246872,0.017958079,1.037761,0.0,1.0034864,0.59060997,0.06403385,1.037761,0.26214132,1.0,0.988855,295.305,32.016926
0.82,7.4910965,0.016694076,1.037761,0.0,1.0008194,0.6911471,0.053549048,1.037761,0.26214132,1.0,0.9806731,345.57355,26.774525
0.84,10.941238,0.015168235,1.037761,0.0,0.99732083,0.78182626,0.04468293,1.037761,0.26214132,1.0,0.97137356,390.91312,22.341465
0.86,13.855698,0.013414897,1.037761,0.0,0.99333876,0.85915816,0.03794456,1.037761,0.26214132,1.0,0.96178734,429.57907,18.972279
0.88,16.128464,0.011477579,1.037761,0.0,0.98926675,0.92008764,0.033901118,1.037761,0.26214132,1.0,0.9528389,460.04382,16.95056
0.9,17.6707,0.009407457,1.037761,0.0,0.9854984,0.96218926,0.03307724,1.037761,0.26214132,1.0,0.94543,481.09464,16.53862
0.92,18.413803,0.00726135,1.037761,0.0,0.9823793,0.9838074,0.035828546,1.037761,0.26214132,1.0,0.94031066,491.9037,17.914272
0.94,18.311783,0.0050993944,1.037761,0.0,0.9801632,0.98411655,0.042222403,1.037761,0.26214132,1.0,0.937968,492.0583,21.111202
0.96,17.3434,0.002982637,1.037761,0.0,0.97898483,0.9630804,0.0519722,1.037761,0.26214132,1.0,0.938562,481.5402,25.9861
