Time,Rotor Angle,Rotor Speed,EQ' Volts, ED' Volts,Term Volts,Elec Power Re,Elec Pwr Im,Fld Volts,Mech Power, Satn Factor, Air Gap Volts,Elec MW,Elec MVAr
0.0,17.22936,0.0,1.0409304,0.0,1.0015888,0.6694586,0.066256806,1.0409304,0.6704333,1.0,0.9828297,803.35034,79.50817
0.02,17.22969,3.465993E-6,1.0409304,0.0,1.0015882,0.66946226,0.06625792,1.0409304,0.6704333,1.0,0.9828289,803.35474,79.5095
0.04,17.231,6.1719484E-6,1.0409304,0.0,1.001586,0.6694772,0.06626223,1.0409304,0.6704333,1.0,0.9828257,803.3727,79.51468
0.06,17.233149,8.789811E-6,1.0409304,0.0,1.0015821,0.6695018,0.06626938,1.0409304,0.6704333,1.0,0.98282045,803.40216,79.52326
0.08,17.236074,1.1294138E-5,1.0409304,0.0,1.001577,0.66953534,0.06627922,1.0409304,0.6704333,1.0,0.98281324,803.4424,79.535065
0.1,17.239702,1.3661434E-5,1.0409304,0.0,0.8164351,0.3286157,0.5918283,1.0409304,0.6704333,1.0,0.8109232,394.33884,710.194
0.12,17.296095,9.86585E-4,1.0409304,0.0,0.8163899,0.32901043,0.59186995,1.0409304,0.6704333,1.0,0.81086457,394.8125,710.24396
0.14,17.559969,0.0019434753,1.0409304,0.0,0.8161776,0.33088037,0.5920643,1.0409304,0.6704333,1.0,0.8105876,397.05646,710.4772
0.16,18.025673,0.0028803921,1.0409304,0.0,0.8157942,0.33417448,0.59242105,1.0409304,0.6704333,1.0,0.8100891,401.00937,710.9053
0.18,18.684208,0.0037936172,1.0409304,0.0,0.81523216,0.33881265,0.592957,1.0409304,0.6704333,1.0,0.809363,406.57516,711.5484
0.2,19.523432,0.004679733,1.0409304,0.0,0.8144821,0.34468865,0.59369445,1.0409304,0.6704333,1.0,0.80840117,413.62637,712.43335
0.22,20.528347,0.00553569,1.0409304,0.0,0.8135337,0.35167217,0.5946576,1.0409304,0.6704333,1.0,0.8071955,422.0066,713.5891
0.24,21.681442,0.0063588694,1.0409304,0.0,0.81237763,0.35961297,0.5958701,1.0409304,0.6704333,1.0,0.80573934,431.53555,715.04407
0.26,22.96315,0.0071471273,1.0409304,0.0,0.8110074,0.36834604,0.59735227,1.0409304,0.6704333,1.0,0.80402935,442.01523,716.8227
0.28,24.352276,0.00789883,1.0409304,0.0,0.80942,0.37769613,0.59911776,1.0409304,0.6704333,1.0,0.8020671,453.23535,718.9413
0.3,25.8265,0.008612868,1.0409304,0.0,0.80761784,0.3874842,0.60117203,1.0409304,0.6704333,1.0,0.79985964,464.98102,721.40643
0.32,27.36291,0.009288658,1.0409304,0.0,0.8056088,0.39753363,0.6035116,1.0409304,0.6704333,1.0,0.79742026,477.04034,724.21387
0.34,28.938477,0.009926124,1.0409304,0.0,0.80340654,0.40767586,0.6061227,1.0409304,0.6704333,1.0,0.7947687,489.21103,727.3472
0.36,30.530546,0.010525659,1.0409304,0.0,0.8010305,0.4177554,0.6089825,1.0409304,0.6704333,1.0,0.79193056,501.3065,730.779
