Time,Rotor Angle,Rotor Speed,EQ' Volts, ED' Volts,Term Volts,Elec Power Re,Elec Pwr Im,Fld Volts,Mech Power, Satn Factor, Air Gap Volts,Elec MW,Elec MVAr
0.0,-0.029051304,0.0,1.0238583,0.0,0.9992383,0.5044314,0.044490967,1.0238583,0.50506383,1.0,0.9882467,302.65884,26.69458
0.02,-0.028878689,2.2489105E-6,1.0238583,0.0,0.9992378,0.5044339,0.044492252,1.0238583,0.50506383,1.0,0.9882461,302.6603,26.69535
0.04,-0.028196335,4.004796E-6,1.0238583,0.0,0.9992357,0.50444365,0.04449778,1.0238583,0.50506383,1.0,0.98824346,302.6662,26.698668
0.06,-0.027085304,5.7036013E-6,1.0238583,0.0,0.99923205,0.5044589,0.044507124,1.0238583,0.50506383,1.0,0.9882391,302.67535,26.704273
0.08,-0.025588036,7.3305264E-6,1.0238583,0.0,0.99922717,0.5044797,0.044519566,1.0238583,0.50506383,1.0,0.9882333,302.68784,26.71174
0.1,-0.02376604,8.871494E-6,1.0238583,0.0,0.170634,3.103117E-4,0.4852968,1.0238583,0.50506383,1.0,0.17063397,0.18618703,291.17807
0.12,0.08084345,0.0014457474,1.0238583,0.0,0.17063399,3.1029186E-4,0.4852968,1.0238583,0.50506383,1.0,0.17063397,0.18617511,291.17807
0.14,0.5927725,0.00286217,1.0238583,0.0,0.170634,3.1032166E-4,0.48529688,1.0238583,0.50506383,1.0,0.17063397,0.18619299,291.17813
0.16,1.5049219,0.00425843,1.0238583,0.0,0.17063393,3.102223E-4,0.48529664,1.0238583,0.50506383,1.0,0.17063397,0.18613338,291.17798
0.18,2.808652,0.005634815,1.0238583,0.0,0.17063402,3.102819E-4,0.48529688,1.0238583,0.50506383,1.0,0.17063385,0.18616915,291.17813
0.2,4.4938774,0.006991607,1.0238583,0.0,0.17063406,3.103912E-4,0.485297,1.0238583,0.50506383,1.0,0.17063397,0.18623471,291.1782
0.22,6.5492163,0.008329086,1.0238583,0.0,0.17063397,3.1026205E-4,0.4852968,1.0238583,0.50506383,1.0,0.17063385,0.18615723,291.17807
0.24,8.962171,0.009647526,1.0238583,0.0,0.17063396,3.1023225E-4,0.48529673,1.0238583,0.50506383,1.0,0.17063385,0.18613935,291.17804
0.26,11.719379,0.0109472,1.0238583,0.0,0.17063393,3.1026205E-4,0.48529664,1.0238583,0.50506383,1.0,0.17063397,0.18615723,291.17798
0.28,14.806848,0.0122283725,1.0238583,0.0,0.170634,3.102819E-4,0.4852968,1.0238583,0.50506383,1.0,0.17063403,0.18616915,291.17807
