Time,Rotor Angle,Rotor Speed,EQ' Volts, ED' Volts,Term Volts,Elec Power Re,Elec Pwr Im,Fld Volts,Mech Power, Satn Factor, Air Gap Volts,Elec MW,Elec MVAr
0.0,1.4611564,0.0,1.025254,0.0,0.99968976,0.54354215,0.041673005,1.025254,0.5437584,1.0,0.98695695,652.25055,50.007607
0.02,1.4611354,7.6913733E-7,1.025254,0.0,0.9996894,0.5435397,0.04167472,1.025254,0.5437584,1.0,0.98695666,652.2476,50.009663
0.04,1.4610534,1.3869717E-6,1.025254,0.0,0.9996881,0.5435296,0.041680433,1.025254,0.5437584,1.0,0.9869558,652.23553,50.016518
0.06,1.460917,2.029117E-6,1.025254,0.0,0.9996859,0.54351324,0.04169013,1.025254,0.5437584,1.0,0.98695433,652.2159,50.028156
0.08,1.4607215,2.7131011E-6,1.025254,0.0,0.99968284,0.5434907,0.04170336,1.025254,0.5437584,1.0,0.98695236,652.18884,50.04403
0.1,1.4604583,3.4556358E-6,1.025254,0.0,0.7723445,0.34422576,0.62856895,1.025254,0.5437584,1.0,0.7657484,413.07092,754.2827
0.12,1.4685521,5.714694E-4,1.025254,0.0,0.77229476,0.34431553,0.62864137,1.025254,0.5437584,1.0,0.7656949,413.17865,754.3696
0.14,1.5099201,0.0011308646,1.025254,0.0,0.77205926,0.3447894,0.6289798,1.025254,0.5437584,1.0,0.76543903,413.74725,754.77576
0.16,1.5824413,0.0016806871,1.025254,0.0,0.77163535,0.34561822,0.62959045,1.025254,0.5437584,1.0,0.76497936,414.74185,755.50854
0.18,1.6819229,0.0022200951,1.025254,0.0,0.77101797,0.3467516,0.63048655,1.025254,0.5437584,1.0,0.76431274,416.10193,756.58386
0.2,1.8022594,0.0027484156,1.025254,0.0,0.7702024,0.3481218,0.63168246,1.025254,0.5437584,1.0,0.7634365,417.74615,758.0189
0.22,1.9356546,0.0032651883,1.025254,0.0,0.7691862,0.34964773,0.6331888,1.025254,0.5437584,1.0,0.7623515,419.57727,759.82654
0.24,2.0729113,0.0037701966,1.025254,0.0,0.76797163,0.35124093,0.6350093,1.025254,0.5437584,1.0,0.7610633,421.4891,762.01117
0.26,2.2037735,0.004263481,1.025254,0.0,0.76656777,0.35281047,0.6371359,1.025254,0.5437584,1.0,0.7595844,423.37256,764.5631
0.28,2.3172865,0.0047453395,1.025254,0.0,0.7649919,0.35426953,0.6395468,1.025254,0.5437584,1.0,0.7579357,425.12344,767.4562
0.3,2.402176,0.005216307,1.025254,0.0,0.76326936,0.35553974,0.6422055,1.025254,0.5437584,1.0,0.75614613,426.64767,770.64655
0.32,2.4472466,0.005677125,1.025254,0.0,0.76143366,0.35655636,0.645062,1.025254,0.5437584,1.0,0.75425196,427.8676,774.07446
0.34,2.441721,0.006128698,1.025254,0.0,0.75952464,0.3572697,0.6480552,1.025254,0.5437584,1.0,0.75229573,428.72363,777.66626
0.36,2.3755875,0.006572048,1.025254,0.0,0.75758636,0.35764682,0.65111655,1.025254,0.5437584,1.0,0.7503234,429.17618,781.33984
0.38,2.2398434,0.007008265,1.025254,0.0,0.755665,0.35767078,0.6541748,1.025254,0.5437584,1.0,0.74838245,429.20496,785.00977
0.4,2.026741,0.007438459,1.025254,0.0,0.96062094,0.33899903,0.18940997,1.025254,0.5437584,1.0,0.95548576,406.79883,227.29196
0.42,1.7593842,0.007935555,1.025254,0.0,0.95431733,0.31313387,0.21058667,1.025254,0.5437584,1.0,0.9499085,375.76065,252.704
0.44,1.5313721,0.008492906,1.025254,0.0,0.9499477,0.2961172,0.22492409,1.025254,0.5437584,1.0,0.9459877,355.34064,269.9089
0.46,1.3560982,0.009084469,1.025254,0.0,0.9479266,0.28786656,0.23152046,1.025254,0.5437584,1.0,0.9441767,345.43988,277.82455
0.48,1.2433128,0.009684974,1.025254,0.0,0.9484292,0.28812057,0.23004504,1.025254,0.5437584,1.0,0.94467473,345.7447,276.05405
0.5,1.1990738,0.010270281,1.025254,0.0,0.9513986,0.296613,0.22066203,1.025254,0.5437584,1.0,0.9474315,355.9356,264.79443
0.52,1.2259598,0.010817312,1.025254,0.0,0.9565567,0.31313097,0.20401153,1.025254,0.5437584,1.0,0.95215833,375.75717,244.81384
0.54,1.323185,0.011303907,1.025254,0.0,0.96341425,0.33745277,0.18125232,1.025254,0.5437584,1.0,0.9583407,404.94333,217.50278
0.56,1.4866486,0.011708944,1.025254,0.0,0.97128975,0.36918172,0.1541225,1.025254,0.5437584,1.0,0.9652637,443.01807,184.947
0.58,1.7089081,0.012012973,1.025254,0.0,0.97935176,0.4075179,0.12494645,1.025254,0.5437584,1.0,0.9720651,489.02148,149.93575
0.6,1.9792328,0.012199511,1.025254,0.0,0.98670274,0.4510434,0.09649374,1.025254,0.5437584,1.0,0.9778362,541.2521,115.792496
0.62,2.2837296,0.012256853,1.025254,0.0,0.992508,0.4976264,0.07163339,1.025254,0.5437584,1.0,0.9817687,597.1517,85.96007
0.64,2.6057434,0.012179999,1.025254,0.0,0.99614936,0.544547,0.05280772,1.025254,0.5437584,1.0,0.9833231,653.4564,63.369263
0.66,2.9266052,0.011971996,1.025254,0.0,0.99736226,0.5888774,0.04147255,1.025254,0.5437584,1.0,0.98236454,706.65283,49.76706
0.68,3.2267685,0.011644049,1.025254,0.0,0.9963018,0.62802404,0.037730098,1.025254,0.5437584,1.0,0.97920746,753.62885,45.276115
0.7,3.4871063,0.011214059,1.025254,0.0,0.9935053,0.6602297,0.04033129,1.025254,0.5437584,1.0,0.9745411,792.27563,48.39755
0.72,3.690094,0.0107039185,1.025254,0.0,0.9897589,0.6848224,0.047055386,1.025254,0.5437584,1.0,0.96926165,821.78687,56.466465
0.74,3.820778,0.010136362,1.025254,0.0,0.9859196,0.70212275,0.055301674,1.025254,0.5437584,1.0,0.9642761,842.5473,66.36201
0.76,3.8671417,0.009532367,1.025254,0.0,0.9827512,0.71306825,0.062662445,1.025254,0.5437584,1.0,0.9603461,855.6819,75.19493
0.78,3.8200684,0.00890976,1.025254,0.0,0.98081607,0.71872467,0.067323856,1.025254,0.5437584,1.0,0.9580039,862.4696,80.78863
0.8,3.6730042,0.008283241,1.025254,0.0,0.98042464,0.7198457,0.06826681,1.025254,0.5437584,1.0,0.957531,863.8149,81.92017
0.82,3.4217453,0.00766554,1.025254,0.0,0.9816269,0.716594,0.065323375,1.025254,0.5437584,1.0,0.9589705,859.9128,78.388054
0.84,3.0644531,0.0070692278,1.025254,0.0,0.9842236,0.7084662,0.059152603,1.025254,0.5437584,1.0,0.9621439,850.1594,70.98312
0.86,2.6020813,0.0065085418,1.025254,0.0,0.98778945,0.69444644,0.051156122,1.025254,0.5437584,1.0,0.9666627,833.33575,61.38735
0.88,2.0396118,0.006000596,1.025254,0.0,0.99171644,0.67336994,0.043299217,1.025254,0.5437584,1.0,0.9719459,808.04395,51.95906
0.9,1.3872223,0.0055654193,1.025254,0.0,0.9952926,0.64443135,0.037796576,1.025254,0.5437584,1.0,0.97726643,773.3176,45.355892
0.92,0.6614075,0.005224502,1.025254,0.0,0.9978229,0.6077037,0.03665209,1.025254,0.5437584,1.0,0.9818505,729.24445,43.982506
0.94,-0.11444092,0.0049979887,1.025254,0.0,0.9987763,0.56447035,0.04115347,1.025254,0.5437584,1.0,0.9850244,677.36444,49.384163
0.96,-0.91007996,0.0049011977,1.025254,0.0,0.9979154,0.5171933,0.051493805,1.025254,0.5437584,1.0,0.9863734,620.63196,61.792564
