Time,Rotor Angle,Rotor Speed,EQ' Volts, ED' Volts,Term Volts,Elec Power Re,Elec Pwr Im,Fld Volts,Mech Power, Satn Factor, Air Gap Volts,Elec MW,Elec MVAr
0.0,97.80996,0.0,0.5546278,0.623502,0.2181124,0.019497067,0.38019416,1.9910218,1.0045056,0.9959628,0.5461884,15.597653,304.15533
0.025,98.6692,0.003251739,0.5516047,0.5997765,0.21436875,0.018833518,0.36725494,2.0386982,1.0045056,0.9962263,0.53676707,15.066814,293.80396
0.05,101.25223,0.0064429794,0.548938,0.5774025,0.21094218,0.018236361,0.35560814,2.0902922,1.0045056,0.99645305,0.5281214,14.589089,284.4865
0.075,105.45473,0.008421324,0.5473314,0.56410795,0.87138385,1.0657736,-0.22561109,2.1419265,1.0045056,0.96314037,0.85836005,852.6189,-180.48888
0.1,109.93178,0.008120466,0.5468874,0.5654803,0.855765,1.1152719,-0.21190304,2.1936007,1.0045056,0.96524405,0.84988564,892.2175,-169.52243
0.125,114.206245,0.007670365,0.5460449,0.56650597,0.8387613,1.1550884,-0.19794306,2.2453146,1.0045056,0.9675143,0.84016633,924.07074,-158.35445
0.15,118.20583,0.0071030115,0.5448626,0.567132,0.8209927,1.1852217,-0.18427104,2.2970686,1.0045056,0.9698178,0.829609,948.17737,-147.41682
0.175,121.87536,0.0064492943,0.54340726,0.5673284,0.80309147,1.206383,-0.17138147,2.3488626,1.0045056,0.9720433,0.8186398,965.1064,-137.10518
0.2,125.17546,0.005736986,0.54174906,0.56708884,0.7856533,1.2197702,-0.15968114,2.4006965,1.0045056,0.9741095,0.8076688,975.81616,-127.74491
0.225,128.08092,0.0049895127,0.53995746,0.56642866,0.7692018,1.2268379,-0.1494711,2.4525704,1.0045056,0.97596514,0.7970629,981.4703,-119.57688
0.25,130.57767,0.0042254142,0.53810006,0.5653814,0.7541732,1.2291,-0.1409449,2.5044847,1.0045056,0.9775843,0.78713477,983.27997,-112.75592
0.275,132.6605,0.0034583784,0.5362393,0.56399584,0.74091184,1.2279874,-0.13420165,2.556439,1.0045056,0.978959,0.77813894,982.38995,-107.36131
0.3,134.33046,0.0026976622,0.53443307,0.56233114,0.7296762,1.2247581,-0.12926346,2.6084332,1.0045056,0.9800929,0.7702754,979.8065,-103.41077
0.325,135.59248,0.0019487338,0.53273374,0.56045425,0.7206505,1.2204509,-0.12609714,2.660468,1.0045056,0.98099524,0.76369756,976.3607,-100.877716
0.35,136.45374,0.001214016,0.53118944,0.5584361,0.7139584,1.2158716,-0.12463361,2.712543,1.0045056,0.98167706,0.75852054,972.69727,-99.70689
0.375,136.922,4.93641E-4,0.529844,0.55634964,0.7096759,1.211599,-0.12478274,2.764658,1.0045056,0.9821484,0.75483,969.2792,-99.826195
0.4,137.00464,-2.1381858E-4,0.5287382,0.554267,0.7078409,1.2079954,-0.12644559,2.8168132,1.0045056,0.9824165,0.7526881,966.39636,-101.15647
0.425,136.70811,-9.10671E-4,0.52791095,0.55225885,0.7084617,1.2052256,-0.12952006,2.869009,1.0045056,0.98248464,0.7521386,964.1805,-103.61604
0.45,136.03748,-0.0015994678,0.5273997,0.5503925,0.7115199,1.2032647,-0.13390458,2.921245,1.0045056,0.9823517,0.7532083,962.61176,-107.12366
0.475,134.9965,-0.0022824013,0.5272422,0.5487309,0.71697235,1.201909,-0.13949728,2.9735217,1.0045056,0.98201203,0.7559077,961.52716,-111.597824
0.5,133.58795,-0.0029607213,0.52747697,0.5473312,0.7247474,1.2007796,-0.14619076,3.0258384,1.0045056,0.9814549,0.76022774,960.62366,-116.95261
0.525,131.81432,-0.0036341639,0.5281439,0.5462433,0.7347394,1.1993237,-0.15386748,3.0781956,1.0045056,0.9806656,0.7661348,959.4589,-123.09399
0.55,129.67873,-0.004300394,0.5292852,0.54550874,0.746802,1.1968241,-0.16238898,3.1305935,1.0045056,0.979626,0.77356535,957.4592,-129.91118
0.575,127.18618,-0.0049544843,0.53094476,0.5451589,0.76073915,1.1924114,-0.17158872,3.1830316,1.0045056,0.9783157,0.78241825,953.92914,-137.27098
0.6,124.34524,-0.0055884677,0.53316927,0.5452127,0.7762971,1.1850991,-0.18126023,3.2354503,1.0045056,0.97671515,0.7925479,948.0793,-145.00818
0.625,121.16947,-0.006191016,0.5359868,0.5456746,0.79315656,1.173808,-0.19116947,3.2756176,1.0045056,0.97481084,0.80374974,939.0464,-152.93558
0.65,117.67963,-0.006747124,0.53935665,0.5465332,0.8109191,1.157377,-0.20109403,3.2937763,1.0045056,0.97260565,0.8157339,925.9016,-160.87523
0.675,113.90546,-0.007238113,0.54322207,0.54775894,0.8291226,1.1347516,-0.21077108,3.2902448,1.0045056,0.9701221,0.82815623,907.8013,-168.61687
0.7,109.887596,-0.0076422845,0.5475288,0.5493046,0.8472638,1.1051615,-0.21989524,3.2664945,1.0045056,0.9674066,0.8406421,884.1292,-175.9162
0.725,105.679016,-0.007936124,0.5522259,0.55110615,0.8648269,1.0682846,-0.22813936,3.2249894,1.0045056,0.9645319,0.8528086,854.6277,-182.51149
0.75,101.345436,-0.008096023,0.55728203,0.5530853,0.8813287,1.024415,-0.23517922,3.1774633,1.0045056,0.9615924,0.86430424,819.532,-188.14337
0.775,96.96488,-0.00810057,0.56270754,0.5551548,0.89637256,0.9745892,-0.24071771,3.129901,1.0045056,0.95868915,0.8748567,779.6714,-192.57417
0.8,92.625916,-0.007932858,0.5685043,0.557224,0.9096768,0.9205022,-0.2445622,3.0823014,1.0045056,0.95592034,0.88427955,736.40173,-195.64975
0.825,88.42456,-0.0075824778,0.5746568,0.55920714,0.9211032,0.86439204,-0.24665283,3.0346649,1.0045056,0.9533635,0.8924923,691.5136,-197.32227
0.85,84.46047,-0.007047001,0.581131,0.56103027,0.9306639,0.8088459,-0.24706334,2.9869924,1.0045056,0.95106184,0.89952654,647.0767,-197.65067
0.875,80.8324,-0.0063327397,0.587875,0.5626385,0.9385092,0.7565649,-0.24598086,2.9392827,1.0045056,0.9490171,0.90551746,605.25195,-196.78468
0.9,77.63332,-0.005454734,0.59482116,0.56400025,0.9448934,0.7101296,-0.24367103,2.8915355,1.0045056,0.9471916,0.910677,568.1037,-194.93683
0.925,74.946045,-0.0044360203,0.6018893,0.56510997,0.9501274,0.67180794,-0.2404314,2.8437517,1.0045056,0.94551915,0.915258,537.44635,-192.34512
0.95,72.83911,-0.0033063914,0.60899013,0.5659877,0.9545259,0.6434288,-0.23654802,2.7959316,1.0045056,0.9439213,0.91951257,514.74304,-189.23842
0.975,71.36354,-0.002100832,0.6160288,0.5666758,0.95835966,0.6263186,-0.23225796,2.7480743,1.0045056,0.9423234,0.9236549,501.05487,-185.80637
1.0,70.55045,-8.578375E-4,0.62290806,0.567233,0.9618169,0.6212815,-0.22772467,2.7001798,1.0045056,0.94066894,0.92783153,497.0252,-182.17973
1.025,70.409706,3.8228487E-4,0.62953055,0.567728,0.96498036,0.62860584,-0.22302471,2.652248,1.0045056,0.93893147,0.9321022,502.88467,-178.41977
1.05,70.92921,0.0015790937,0.6358011,0.5682304,0.9678199,0.6480677,-0.21814944,2.6042788,1.0045056,0.9371204,0.9364341,518.45416,-174.51955
1.075,72.07537,0.0026936743,0.6416286,0.5688046,0.9702029,0.67893636,-0.21301526,2.5562725,1.0045056,0.93528473,0.94070804,543.1491,-170.4122
1.1,73.794365,0.003690291,0.64692944,0.5695022,0.9719177,0.71997815,-0.20748685,2.5082304,1.0045056,0.9335093,0.94473547,575.98254,-165.98949
1.125,76.01419,0.0045380145,0.65162814,0.57035714,0.9727103,0.7694735,-0.20141041,2.4601512,1.0045056,0.93190736,0.9482847,615.5788,-161.12833
1.15,78.64779,0.00521223,0.6556605,0.57138354,0.9723285,0.82527876,-0.19465043,2.4120345,1.0045056,0.93060476,0.951114,660.223,-155.72034
1.175,81.59666,0.0056958827,0.65897787,0.5725752,0.97056985,0.88493514,-0.18712848,2.365518,1.0045056,0.9297198,0.9530083,707.9481,-149.70279
1.2,84.75524,0.0059802257,0.66157013,0.5739079,0.96733207,0.9458731,-0.17883927,2.3272583,1.0045056,0.9293351,0.9538248,756.6985,-143.07141
1.225,88.01544,0.0060648634,0.66346395,0.5753437,0.96264064,1.00561,-0.16987251,2.2984898,1.0045056,0.9294808,0.953516,804.488,-135.89801
1.25,91.27102,0.005957202,0.66470635,0.57683694,0.95665556,1.0619323,-0.16042739,2.2795575,1.0045056,0.9301303,0.9521323,849.54584,-128.34192
1.275,94.421486,0.0056712977,0.6653624,0.5783397,0.94966537,1.1130661,-0.15080026,2.2705374,1.0045056,0.9312032,0.9498204,890.4529,-120.640205
1.3,97.37536,0.005226243,0.6655117,0.5798078,0.9420624,1.157778,-0.14135423,2.2712166,1.0045056,0.93257797,0.94680846,926.2224,-113.08339
1.325,100.05238,0.00464434,0.6652457,0.5812052,0.93430823,1.1953963,-0.1324802,2.2810583,1.0045056,0.9341102,0.9433835,956.317,-105.98416
1.35,102.38477,0.003949343,0.6646627,0.5825075,0.92689186,1.2257475,-0.12455636,2.2991698,1.0045056,0.93565196,0.9398623,980.59796,-99.64509
1.375,104.31765,0.003164991,0.66386324,0.58370346,0.9202887,1.2490348,-0.11791545,2.324289,1.0045056,0.93706566,0.93656343,999.2278,-94.33236
1.4,105.80871,0.0023140013,0.66294616,0.5847947,0.91492504,1.2656893,-0.11281835,2.3548093,1.0045056,0.9382352,0.9337815,1012.5514,-90.254684
1.425,106.82752,0.0014175526,0.6620048,0.5857942,0.9111503,1.2762175,-0.1094417,2.3888307,1.0045056,0.93906903,0.931768,1020.974,-87.55336
1.45,107.3547,4.952352E-4,0.66112447,0.586724,0.90921783,1.281075,-0.10787153,2.424251,1.0045056,0.93950045,0.9307163,1024.86,-86.297226
1.475,107.38104,-4.3463078E-4,0.6603796,0.58761054,0.9092725,1.2805703,-0.10810572,2.4588687,1.0045056,0.93948597,0.9307518,1024.4562,-86.48457
1.5,106.907074,-0.0013544374,0.659834,0.58848214,0.9113457,1.2748191,-0.110055335,2.490506,1.0045056,0.9390036,0.9319271,1019.8553,-88.044266
1.525,105.94274,-0.002246644,0.65953976,0.5893647,0.91535556,1.2637374,-0.11355316,2.5171287,1.0045056,0.9380521,0.9342202,1010.9899,-90.84253
1.55,104.507614,-0.0030931819,0.6595374,0.59027743,0.92111117,1.247081,-0.118358724,2.5369632,1.0045056,0.93665206,0.93753564,997.66486,-94.68698
1.575,102.63125,-0.0038750507,0.6598568,0.5912308,0.928324,1.224525,-0.12416834,2.548598,1.0045056,0.93484664,0.9417112,979.62,-99.33467
